0,1,2,3,4,5
31204.0,2019-11-01,"(1058.75, 1391.0]",5,10,-5
31205.0,2019-11-01,"(87.656, 425.0]",1,1,0
31205.0,2019-11-01,"(425.0, 761.0]",37,44,-7
31205.0,2019-11-01,"(761.0, 1097.0]",18,52,-34
31205.0,2019-11-01,"(1097.0, 1433.0]",4,25,-21
31206.0,2019-11-01,"(433.257, 619.75]",10,12,-2
31206.0,2019-11-01,"(805.5, 991.25]",1,1,0
31206.0,2019-11-01,"(991.25, 1177.0]",2,6,-4
31207.0,2019-11-01,"(706.5, 916.0]",2,5,-3
31207.0,2019-11-01,"(916.0, 1125.5]",1,6,-5
31207.0,2019-11-01,"(1125.5, 1335.0]",1,3,-2
31208.0,2019-11-01,"(231.959, 493.25]",6,8,-2
31208.0,2019-11-01,"(493.25, 753.5]",5,8,-3
31208.0,2019-11-01,"(753.5, 1013.75]",11,20,-9
31208.0,2019-11-01,"(1013.75, 1274.0]",8,16,-8
31209.0,2019-11-01,"(489.233, 681.75]",3,5,-2
31209.0,2019-11-01,"(681.75, 873.5]",2,5,-3
31209.0,2019-11-01,"(873.5, 1065.25]",4,11,-7
31209.0,2019-11-01,"(1065.25, 1257.0]",8,10,-2
31211.0,2019-11-01,"(396.991, 650.25]",13,16,-3
31211.0,2019-11-01,"(650.25, 902.5]",8,18,-10
31211.0,2019-11-01,"(902.5, 1154.75]",15,23,-8
31211.0,2019-11-01,"(1154.75, 1407.0]",2,4,-2
31212.0,2019-11-01,"(349.938, 616.5]",21,25,-4
31212.0,2019-11-01,"(616.5, 882.0]",19,29,-10
31212.0,2019-11-01,"(882.0, 1147.5]",12,36,-24
31212.0,2019-11-01,"(1147.5, 1413.0]",3,6,-3
31213.0,2019-11-01,"(258.88, 540.0]",27,35,-8
31213.0,2019-11-01,"(540.0, 820.0]",16,38,-22
31213.0,2019-11-01,"(820.0, 1100.0]",15,32,-17
31213.0,2019-11-01,"(1100.0, 1380.0]",4,9,-5
31214.0,2019-11-01,"(261.825, 556.75]",7,31,-24
31214.0,2019-11-01,"(556.75, 850.5]",12,18,-6
31214.0,2019-11-01,"(850.5, 1144.25]",37,60,-23
31214.0,2019-11-01,"(1144.25, 1438.0]",14,23,-9
31215.0,2019-11-01,"(330.913, 603.75]",22,27,-5
31215.0,2019-11-01,"(603.75, 875.5]",17,22,-5
